project	dataset	shred	module-name	gene	rank	score	difference	mean	scope	depth	disease	tissue	cell_class	celltype
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	JCHAIN	1	110.184786	7.701947	7.773542	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	MZB1	2	88.828233	6.546025	6.629368	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	XBP1	68	25.46749	5.329445	6.175012	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	CD38	93	23.410425	5.030845	5.87805	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGKC	7	72.202665	5.782252	5.868595	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	TENT5C	21	43.205927	5.518343	5.791052	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGHA1	9	62.277796	5.666464	5.776959	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IGHGP	4	78.631594	5.653947	5.721182	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	IFNG-AS1	14	49.231942	5.370076	5.545874	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
COVID-19 Atlas	"COVID-19 Autopsy Atlas (Lung, Liver, Kidney, Heart)"	"Disease (COVID-19 only), tissue and cell type"	COVID-19-lung-Plasmablasts|lung	FCRL5	10	60.446315	5.321808	5.434985	COVID-19_lung	2	COVID-19	lung	Lymphocytic_B	Plasmablasts
